------------------------------------------------------------
 Current
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,       1.14768795e-13
                   0,       1.14768795e-13
                0.05,        0.00048146384
                 0.1,        0.00225729602
                0.15,        0.00921760477
                 0.2,          0.037212853
                0.25,          0.149724855
                 0.3,          0.581568802
                0.35,           2.04281077
                 0.4,           6.09387019
                0.45,           15.0903679
                 0.5,           31.3462136
                0.55,           56.2753617
                 0.6,           90.3094345
                0.65,            133.18335
                 0.7,           184.155248
                0.75,           242.137085
                 0.8,           305.801479
                0.85,           373.697591
                 0.9,           444.376674
                0.95,           516.508269
                   1,           588.961744
                1.05,           660.837021
                 1.1,           731.447855
                1.15,            800.27776
                 1.2,            866.93235

