------------------------------------------------------------
 Current
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                0.05,       1.42880602e-06
                 0.1,       5.32247701e-06
                0.15,       1.77288064e-05
                 0.2,       6.38891885e-05
                0.25,       0.000264898029
                 0.3,        0.00125848463
                0.35,        0.00658081415
                 0.4,         0.0362544428
                0.45,          0.201902334
                 0.5,           1.05938063
                0.55,           4.63688902
                 0.6,           15.5787371
                0.65,            40.088557
                 0.7,           82.7264753
                0.75,           145.155016
                 0.8,           226.773727
                0.85,           325.290826
                 0.9,           437.116973
                0.95,           557.871057
                   1,           683.041375
                1.05,           808.626767
                 1.1,           931.512817
                1.15,           1049.48087
                 1.2,           1160.98165

