------------------------------------------------------------
 Current
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,       3.06392606e-13
                   0,       3.06392606e-13
                0.05,       1.92954388e-07
                 0.1,       7.09693515e-07
                0.15,       2.23802087e-06
                 0.2,       7.19772588e-06
                0.25,       2.57105706e-05
                 0.3,       0.000108556642
                0.35,       0.000548782355
                 0.4,        0.00318350521
                0.45,         0.0199859598
                 0.5,          0.129131631
                0.55,           0.80137937
                 0.6,           4.15664057
                0.65,            15.992069
                 0.7,           45.0985342
                0.75,            98.413564
                 0.8,           178.550197
                0.85,           284.548595
                 0.9,           412.630213
                0.95,           556.841199
                   1,           710.079545
                1.05,           865.425079
                 1.1,           1017.23838
                1.15,           1161.53287
                 1.2,            1295.6764

