------------------------------------------------------------
 Current
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,      -1.78434559e-13
                   0,      -1.78434559e-13
                0.05,       9.59197067e-06
                 0.1,       3.89392329e-05
                0.15,       0.000146259408
                 0.2,       0.000594168461
                0.25,        0.00264303153
                 0.3,         0.0125392108
                0.35,          0.061475365
                 0.4,          0.299955543
                0.45,           1.35590972
                 0.5,           5.12688125
                0.55,           15.3280628
                 0.6,           36.3843457
                0.65,           71.3354701
                 0.7,            121.23622
                0.75,           185.657414
                 0.8,           263.106545
                0.85,           351.290478
                 0.9,           447.391793
                0.95,           548.414389
                   1,           651.545964
                1.05,           754.430542
                 1.1,           855.268812
                1.15,           952.754721
                 1.2,           1045.93648

