------------------------------------------------------------
 Current
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,      -8.66347412e-13
                   0,      -8.66347412e-13
                0.05,       2.01163835e-08
                 0.1,       7.71841624e-08
                0.15,       2.51026495e-07
                 0.2,       7.99832175e-07
                0.25,       2.63658488e-06
                 0.3,       9.53128468e-06
                0.35,       4.07378332e-05
                 0.4,       0.000216600521
                0.45,         0.0013970245
                 0.5,         0.0101531521
                0.55,         0.0777325525
                 0.6,          0.583962692
                0.65,           3.69351413
                 0.7,           16.6496783
                0.75,           52.0833681
                 0.8,           120.711192
                0.85,           226.614726
                 0.9,           367.990249
                0.95,           538.084792
                   1,           726.416534
                1.05,           921.081822
                 1.1,           1111.48439
                1.15,           1289.99368
                 1.2,           1451.87897

