------------------------------------------------------------
 Current
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                0.05,       1.41318831e-09
                 0.1,        5.8332068e-09
                0.15,       2.05481735e-08
                 0.2,       7.03455424e-08
                0.25,       2.41544682e-07
                 0.3,       8.51322084e-07
                0.35,       3.20449956e-06
                 0.4,       1.39035392e-05
                0.45,       7.64013185e-05
                 0.5,       0.000544508363
                0.55,        0.00465503085
                 0.6,         0.0433952926
                0.65,          0.406711115
                 0.7,           3.25151681
                0.75,           17.6752783
                 0.8,             62.22019
                0.85,           153.865424
                 0.9,           299.017935
                0.95,           493.734923
                   1,           724.739666
                1.05,           972.313878
                 1.1,           1216.02078
                1.15,           1440.22572
                 1.2,           1635.82951

